Issue,URL
72,https://github.com/radarsh/gradle-test-logger-plugin/issues/72
74,https://github.com/radarsh/gradle-test-logger-plugin/issues/74
78,https://github.com/radarsh/gradle-test-logger-plugin/issues/78
97,https://github.com/radarsh/gradle-test-logger-plugin/issues/97
143,https://github.com/radarsh/gradle-test-logger-plugin/issues/143
150,https://github.com/radarsh/gradle-test-logger-plugin/issues/150
152,https://github.com/radarsh/gradle-test-logger-plugin/issues/152
153,https://github.com/radarsh/gradle-test-logger-plugin/issues/153
172,https://github.com/radarsh/gradle-test-logger-plugin/issues/172
226,https://github.com/radarsh/gradle-test-logger-plugin/issues/226
